   ,VITI,MUAJI,PERSHKRIMI_SEKTORIT,LLOJI_KOMPAN,KOMUNA,PEN_NO,PEN_TYPE_DESC_F,NR_TATIM,NR_GJOBAVE,VLERA
6676,2023,7,Aktivitetet e patundshmerise,SH.P.K.,PRISHTINË,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
6677,2019,8,Ndertimtaria,Individual,GJAKOVË,407,Nd.Neni.53( 2.3)-Law 03/L-222,1,1,500
6678,2019,9,Person Fizik,Person fizik,VITI,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
6679,2021,7,Aktivitetet e tjera sherbyese,Individual,MITROVICË,422,Nd.Neni.53.6-Law 03/L-222,12,12,1500
6680,2018,9,Industria perpunuese,SH.P.K.,MITROVICË,408,Nd.Neni.53(2.4)-Law 03/L-222,2,2,2000
6681,2019,8,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PRISHTINË,422,Nd.Neni.53.6-Law 03/L-222,12,12,3875
6682,2017,5,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,FERIZAJ,404,Nd.Neni.53 (1)-Law 03/L-222,2,2,250
6683,2020,1,Ndertimtaria,Individual,SHTIME,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,500
6684,2021,3,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PRIZREN,422,Nd.Neni.53.6-Law 03/L-222,8,8,1250
6685,2021,11,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,DRAGASH,405,Nd.Neni.53(2.1)-Law 03/L-222,4,4,500
6686,2023,4,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,KLLOKOT,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
6687,2021,9,Akomodimi dhe sherbimi ushqimor,Individual,SHTIME,422,Nd.Neni.53.6-Law 03/L-222,2,2,250
6688,2022,9,Industria perpunuese,SH.P.K.,SUHAREKË,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
6689,2019,12,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,GLLOGOC,423,Nd.Neni.59-Law 03/L-222,1,1,2265.95
6690,2023,6,Person Fizik,Person fizik,PRIZREN,405,Nd.Neni.53(2.1)-Law 03/L-222,6,6,2500
6691,2021,9,Aktivitetet e tjera sherbyese,Individual,PODUJEVË,422,Nd.Neni.53.6-Law 03/L-222,3,3,375
6692,2020,9,Person Fizik,Person fizik,LEPOSAVIQ,403,Nd.Neni.50 (1)-Law 03/L-222,1,1,500
6693,2017,10,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,LIPJAN,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6694,2020,11,Person Fizik,Person fizik,PEJË,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
6695,2021,11,Sherbimet administrative dhe mbeshtetese,Individual,MITROVICË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
6696,2023,8,Akomodimi dhe sherbimi ushqimor,Individual,OBILIQ,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6697,2022,7,Person Fizik,Person fizik,GJILAN,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6698,2022,2,Transporti dhe magazinimi,Individual,PEJË,422,Nd.Neni.53.6-Law 03/L-222,3,6,10125
6699,2019,11,Ndertimtaria,Individual,FERIZAJ,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6700,2017,2,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,MITROVICË,422,Nd.Neni.53.6-Law 03/L-222,11,12,1500
6701,2017,3,Industria perpunuese,Individual,PRISHTINË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
6702,2018,9,Akomodimi dhe sherbimi ushqimor,Individual,GJAKOVË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
6703,2021,11,Transporti dhe magazinimi,Individual,LIPJAN,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
6704,2023,1,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,VUSHTRRI,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6705,2021,4,Industria perpunuese,Individual,FUSHË KOSOVË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6706,2020,9,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,SUHAREKË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6707,2017,5,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,VITI,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6708,2023,4,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,MITROVICË,422,Nd.Neni.53.6-Law 03/L-222,12,12,1500
6709,2021,6,Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,PRISHTINË,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
6710,2017,12,Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,SKENDERAJ,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
6711,2023,6,Industria perpunuese,SH.P.K.,VUSHTRRI,423,Nd.Neni.59-Law 03/L-222,1,1,57.75
6712,2022,8,Person Fizik,Person fizik,PEJË,404,Nd.Neni.53 (1)-Law 03/L-222,1,1,125
6713,2020,10,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,OBILIQ,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
6714,2022,9,Aktivitetet e tjera sherbyese,Individual,PRIZREN,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
6715,2022,2,Industria perpunuese,SH.P.K.,VITI,423,Nd.Neni.59-Law 03/L-222,1,1,2.75
6716,2023,3,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PEJË,404,Nd.Neni.53 (1)-Law 03/L-222,3,3,375
6717,2021,8,"Artet, Argetimi dhe rekreacioni",SH.P.K.,KAÇANIK,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
6718,2019,2,Ndertimtaria,SH.P.K.,PRIZREN,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
6719,2019,11,Informimi dhe komunikimi,SH.P.K.,PRISHTINË,412,Nd.Neni.58 (3.2)-Law 03/L-222,1,1,250
6720,2023,5,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,LIPJAN,405,Nd.Neni.53(2.1)-Law 03/L-222,3,3,375
6721,2021,7,Ndertimtaria,SH.P.K.,KAÇANIK,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
6722,2022,5,Akomodimi dhe sherbimi ushqimor,SH.P.K.,GJILAN,422,Nd.Neni.53.6-Law 03/L-222,2,2,250
6723,2023,6,Industria perpunuese,SH.P.K.,MITROVICË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
6724,2020,7,Industria perpunuese,SH.P.K.,GLLOGOC,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,250
6725,2022,3,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,PRIZREN,409,Nd.Neni.53(5)-Law 03/L-222,1,1,400
6726,2017,3,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,DEÇAN,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
6727,2022,5,Ndertimtaria,SH.P.K.,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,2,2,625
6728,2021,6,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,LEPOSAVIQ,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6729,2020,10,Industria perpunuese,Shoqëri akcionare,LEPOSAVIQ,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6730,2018,3,Aktivitetet e tjera sherbyese,Individual,FUSHË KOSOVË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
6731,2017,12,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,PRISHTINË,404,Nd.Neni.53 (1)-Law 03/L-222,4,8,1375
6732,2023,6,Ndertimtaria,SH.P.K.,KAÇANIK,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6733,2022,5,Ndertimtaria,SH.P.K.,FUSHË KOSOVË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6734,2017,3,Industria nxjerrese,Shoqëri akcionare,MITROVICË,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
6735,2017,5,Transporti dhe magazinimi,Individual,PRIZREN,422,Nd.Neni.53.6-Law 03/L-222,1,1,250
6736,2019,5,Akomodimi dhe sherbimi ushqimor,Individual,GRAÇANICË,423,Nd.Neni.59-Law 03/L-222,1,1,69.33
6737,2020,8,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,FERIZAJ,407,Nd.Neni.53( 2.3)-Law 03/L-222,1,1,500
6738,2021,1,Ndertimtaria,SH.P.K.,PRIZREN,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6739,2022,5,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,VUSHTRRI,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
6740,2017,2,"Artet, Argetimi dhe rekreacioni",SH.P.K.,SUHAREKË,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
6741,2023,2,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,PEJË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,250
6742,2018,7,Person Fizik,Person fizik,GLLOGOC,408,Nd.Neni.53(2.4)-Law 03/L-222,1,4,4000
6743,2019,12,Akomodimi dhe sherbimi ushqimor,Individual,MITROVICË,422,Nd.Neni.53.6-Law 03/L-222,1,1,500
6744,2021,9,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,SKENDERAJ,407,Nd.Neni.53( 2.3)-Law 03/L-222,1,1,1000
6745,2022,12,Industria perpunuese,Individual,GLLOGOC,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
6746,2017,11,Industria perpunuese,Individual,GLLOGOC,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
6747,2017,6,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,VITI,422,Nd.Neni.53.6-Law 03/L-222,1,1,1000
6748,2018,1,Sherbimet administrative dhe mbeshtetese,Individual,PRIZREN,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
6749,2017,4,"Artet, Argetimi dhe rekreacioni",Individual,MITROVICË,429,Nd.Neni.76(1.5)-Law 04/L-080,1,2,6000
6750,2022,7,Akomodimi dhe sherbimi ushqimor,SH.P.K.,GRAÇANICË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,375
6751,2018,9,Akomodimi dhe sherbimi ushqimor,Individual,GJAKOVË,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
6752,2017,7,"Artet, Argetimi dhe rekreacioni",SH.P.K.,PRIZREN,440,Nd.Neni.77(1.9)-Law 04/L-080,1,2,4000
6753,2022,1,Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,PRIZREN,407,Nd.Neni.53( 2.3)-Law 03/L-222,1,1,500
6754,2022,2,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,LIPJAN,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
6755,2018,3,Person Fizik,Person fizik,GJILAN,422,Nd.Neni.53.6-Law 03/L-222,1,1,250
6756,2020,3,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,FUSHË KOSOVË,423,Nd.Neni.59-Law 03/L-222,1,1,77.5
6757,2017,5,"Artet, Argetimi dhe rekreacioni",SH.P.K.,LIPJAN,404,Nd.Neni.53 (1)-Law 03/L-222,1,1,125
6758,2018,1,Akomodimi dhe sherbimi ushqimor,Individual,VUSHTRRI,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
6759,2018,6,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,MITROVICË,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
6760,2018,3,Industria perpunuese,SH.P.K.,SUHAREKË,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,500
6761,2020,1,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,MITROVICË VERIORE,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
6762,2017,9,Aktivitetet financiare dhe te sigurimit,Shoqëri akcionare,MITROVICË VERIORE,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
6763,2023,8,Industria perpunuese,Individual,PRISHTINË,422,Nd.Neni.53.6-Law 03/L-222,2,2,375
6764,2023,5,Aktivitetet e tjera sherbyese,Individual,PRIZREN,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6765,2018,12,Industria perpunuese,SH.P.K.,KLINË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
6766,2018,1,Bujqesia;Pylltaria dhe Peshkimi,Individual,MALISHEVË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6767,2022,2,Ndertimtaria,SH.P.K.,SUHAREKË,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
6768,2019,12,Akomodimi dhe sherbimi ushqimor,SH.P.K.,MITROVICË,405,Nd.Neni.53(2.1)-Law 03/L-222,2,2,250
6769,2020,12,Informimi dhe komunikimi,SH.P.K.,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,3,3,625
6770,2018,7,Industria perpunuese,Individual,RAHOVEC,406,Nd.Neni.53(2.2)-Law 03/L-222,1,2,500
6771,2017,1,Person Fizik,Person fizik,PRISHTINË,423,Nd.Neni.59-Law 03/L-222,1,1,47.96
6772,2018,12,"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,PRISHTINË,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,4000
6773,2017,9,Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,FERIZAJ,404,Nd.Neni.53 (1)-Law 03/L-222,1,1,125
6774,2021,5,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,FERIZAJ,407,Nd.Neni.53( 2.3)-Law 03/L-222,1,1,500
6775,2017,3,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,GJILAN,422,Nd.Neni.53.6-Law 03/L-222,3,3,375
6776,2023,2,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,FERIZAJ,406,Nd.Neni.53(2.2)-Law 03/L-222,6,6,1500
6777,2019,6,Bujqesia;Pylltaria dhe Peshkimi,Individual,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6778,2022,12,Person Fizik,Person fizik,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,2,2,1000
6779,2019,4,Industria perpunuese,SH.P.K.,GJILAN,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
6780,2018,3,Ndertimtaria,SH.P.K.,PRISHTINË,407,Nd.Neni.53( 2.3)-Law 03/L-222,2,3,1500
6781,2019,5,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,RAHOVEC,423,Nd.Neni.59-Law 03/L-222,1,1,98.5
6782,2020,1,Person Fizik,Person fizik,GJILAN,406,Nd.Neni.53(2.2)-Law 03/L-222,2,2,500
6783,2022,4,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,VUSHTRRI,422,Nd.Neni.53.6-Law 03/L-222,15,15,2125
6784,2022,11,Akomodimi dhe sherbimi ushqimor,Individual,PARTESH,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6785,2022,8,Aktivitetet e tjera sherbyese,Individual,KLINË,422,Nd.Neni.53.6-Law 03/L-222,2,2,250
6786,2019,9,Akomodimi dhe sherbimi ushqimor,Individual,ISTOG,422,Nd.Neni.53.6-Law 03/L-222,6,6,875
6787,2021,1,Bujqesia;Pylltaria dhe Peshkimi,Individual,MALISHEVË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6788,2022,8,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,VUSHTRRI,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6789,2019,6,Ndertimtaria,SH.P.K.,SHTIME,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
6790,2017,10,Person Fizik,Person fizik,PRISHTINË,422,Nd.Neni.53.6-Law 03/L-222,4,4,875
6791,2023,3,Akomodimi dhe sherbimi ushqimor,Individual,RAHOVEC,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6792,2019,11,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,PODUJEVË,422,Nd.Neni.53.6-Law 03/L-222,1,1,250
6793,2018,12,Ndertimtaria,Individual,KLINË,404,Nd.Neni.53 (1)-Law 03/L-222,1,1,125
6794,2021,6,Transporti dhe magazinimi,Individual,PODUJEVË,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,2000
6795,2019,12,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,GJAKOVË,408,Nd.Neni.53(2.4)-Law 03/L-222,2,2,2000
6796,2017,7,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,MALISHEVË,407,Nd.Neni.53( 2.3)-Law 03/L-222,1,1,500
6797,2023,7,Industria perpunuese,Individual,PRISHTINË,404,Nd.Neni.53 (1)-Law 03/L-222,1,2,250
6798,2019,8,Informimi dhe komunikimi,SH.P.K.,GJILAN,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6799,2019,7,Informimi dhe komunikimi,Individual,MITROVICË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
6800,2018,3,Industria perpunuese,SH.P.K.,VITI,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
6801,2019,11,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PRIZREN,422,Nd.Neni.53.6-Law 03/L-222,1,1,250
6802,2023,2,Ndertimtaria,Individual,VITI,409,Nd.Neni.53(5)-Law 03/L-222,1,1,100
6803,2018,4,Aktivitetet e tjera sherbyese,SH.P.K.,ISTOG,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
6804,2022,2,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,GJILAN,407,Nd.Neni.53( 2.3)-Law 03/L-222,1,1,500
6805,2022,3,Industria perpunuese,SH.P.K.,PRIZREN,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
6806,2021,10,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,OBILIQ,423,Nd.Neni.59-Law 03/L-222,1,1,110.25
6807,2021,6,Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,KAMENICË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6808,2019,1,Ndertimtaria,Individual,PRIZREN,407,Nd.Neni.53( 2.3)-Law 03/L-222,1,1,500
6809,2022,3,Mungon aktiviteti,Individual,PODUJEVË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,375
6810,2021,4,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PODUJEVË,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
6811,2022,3,Industria perpunuese,Individual,FUSHË KOSOVË,411,Nd.Neni.58(3.1)-Law 03/L-222,1,1,125
6812,2017,3,Industria perpunuese,SH.P.K.,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6813,2018,10,"Artet, Argetimi dhe rekreacioni",SH.P.K.,KAMENICË,439,Nd.Neni.77(1.8)-Law 04/L-080,1,1,1000
6814,2023,7,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,OBILIQ,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
6815,2017,6,"Aktivitetet profesionale, shkencore dhe teknike",Individual,PRISHTINË,409,Nd.Neni.53(5)-Law 03/L-222,1,1,100
6816,2018,11,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,VITI,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
6817,2023,8,Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,PRISHTINË,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,3000
6818,2021,8,Industria perpunuese,Individual,PRIZREN,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
6819,2021,8,Industria perpunuese,Individual,PEJË,404,Nd.Neni.53 (1)-Law 03/L-222,1,1,1125
6820,2020,10,Industria perpunuese,Individual,FERIZAJ,422,Nd.Neni.53.6-Law 03/L-222,2,2,375
6821,2022,5,Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,SUHAREKË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6822,2020,10,Transporti dhe magazinimi,SH.P.K.,PRISHTINË,422,Nd.Neni.53.6-Law 03/L-222,1,1,4000
6823,2018,8,Aktivitetet e tjera sherbyese,Individual,PRISHTINË,404,Nd.Neni.53 (1)-Law 03/L-222,9,9,1125
6824,2022,9,Akomodimi dhe sherbimi ushqimor,Individual,PEJË,405,Nd.Neni.53(2.1)-Law 03/L-222,7,7,875
6825,2017,2,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,MITROVICË,404,Nd.Neni.53 (1)-Law 03/L-222,1,1,125
6826,2020,7,Industria perpunuese,Individual,PRIZREN,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6827,2017,7,Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,PRIZREN,422,Nd.Neni.53.6-Law 03/L-222,3,3,375
6828,2017,9,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,GJILAN,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
6829,2022,7,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,PRIZREN,406,Nd.Neni.53(2.2)-Law 03/L-222,2,2,500
6830,2018,7,Akomodimi dhe sherbimi ushqimor,Individual,SHTIME,406,Nd.Neni.53(2.2)-Law 03/L-222,1,2,500
6831,2022,8,Industria perpunuese,Individual,FERIZAJ,406,Nd.Neni.53(2.2)-Law 03/L-222,3,3,750
6832,2019,9,Aktivitetet e tjera sherbyese,Individual,PRIZREN,405,Nd.Neni.53(2.1)-Law 03/L-222,4,4,500
6833,2023,3,Ndertimtaria,SH.P.K.,PRIZREN,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
6834,2017,9,Akomodimi dhe sherbimi ushqimor,Individual,VUSHTRRI,422,Nd.Neni.53.6-Law 03/L-222,6,6,875
6835,2022,4,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,FUSHË KOSOVË,422,Nd.Neni.53.6-Law 03/L-222,3,3,375
6836,2023,3,Akomodimi dhe sherbimi ushqimor,SH.P.K.,PRIZREN,422,Nd.Neni.53.6-Law 03/L-222,2,2,1500
6837,2020,12,Person Fizik,Person fizik,FUSHË KOSOVË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,750
6838,2020,2,Person Fizik,Person fizik,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,3,3,1500
6839,2021,4,Akomodimi dhe sherbimi ushqimor,Individual,PRISHTINË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
6840,2017,9,Akomodimi dhe sherbimi ushqimor,Individual,LIPJAN,422,Nd.Neni.53.6-Law 03/L-222,5,5,750
6841,2020,10,Industria perpunuese,Individual,GRAÇANICË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,2,250
6842,2017,6,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6843,2022,2,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,VITI,423,Nd.Neni.59-Law 03/L-222,2,2,1772.06
6844,2018,7,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,GJILAN,405,Nd.Neni.53(2.1)-Law 03/L-222,3,3,375
6845,2017,6,Akomodimi dhe sherbimi ushqimor,SH.P.K.,GJAKOVË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
6846,2020,9,Industria perpunuese,Individual,GJAKOVË,404,Nd.Neni.53 (1)-Law 03/L-222,1,1,125
6847,2018,12,Aktivitetet e tjera sherbyese,Individual,PRIZREN,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
6848,2019,7,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,7,7,875
6849,2021,8,Akomodimi dhe sherbimi ushqimor,SH.P.K.,PEJË,422,Nd.Neni.53.6-Law 03/L-222,5,5,3625
6850,2022,6,"Aktivitetet profesionale, shkencore dhe teknike",Individual,SKENDERAJ,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
6851,2021,3,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,PRISHTINË,407,Nd.Neni.53( 2.3)-Law 03/L-222,2,2,1500
6852,2022,9,Industria perpunuese,Individual,VITI,422,Nd.Neni.53.6-Law 03/L-222,2,2,250
6853,2019,3,Aktivitetet e tjera sherbyese,Individual,PRISHTINË,422,Nd.Neni.53.6-Law 03/L-222,5,5,625
6854,2020,2,Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,OBILIQ,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
6855,2021,12,Akomodimi dhe sherbimi ushqimor,Individual,LIPJAN,422,Nd.Neni.53.6-Law 03/L-222,2,2,375
6856,2021,9,Akomodimi dhe sherbimi ushqimor,Individual,PEJË,405,Nd.Neni.53(2.1)-Law 03/L-222,2,2,250
6857,2019,4,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,ISTOG,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
6858,2019,3,Ndertimtaria,SH.P.K.,GJILAN,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
6859,2023,8,Industria perpunuese,Individual,VUSHTRRI,422,Nd.Neni.53.6-Law 03/L-222,2,3,875
6860,2021,11,Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,OBILIQ,407,Nd.Neni.53( 2.3)-Law 03/L-222,1,1,500
6861,2018,11,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,MITROVICË VERIORE,407,Nd.Neni.53( 2.3)-Law 03/L-222,1,1,500
6862,2018,11,"Artet, Argetimi dhe rekreacioni",SH.P.K.,GJAKOVË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
